xds@MA1	MA1	a858	A	xds@MA1	MA1	a858
xds@MA1	MA1	a859	A	xds@MA1	MA1	a859
xds@MA1	MA1	a860	A	xds@MA1	MA1	a860
xds@MA1	MA1	a861	A	xds@MA1	MA1	a861
xds@MA1	MA1	a862	A	xds@MA1	MA1	a862
xds@MA1	MA1	a863	C	xds@MA1	MA1	a863
xds@MA1	MA1	a864	C	xds@MA1	MA1	a864
xds@MA1	MA1	a865	C	xds@MA1	MA1	a865
xds@MA1	MA1	a866	B	xds@MA1	MA1	a866
xds@MA1	MA1	a867	B	xds@MA1	MA1	a867
lex@CHI	CHI	a868	0	lex@CHI	CHI	a868
lex@CHI	CHI	a869	0	lex@CHI	CHI	a869
lex@CHI	CHI	a870	0	lex@CHI	CHI	a870
lex@CHI	CHI	a871	0	lex@CHI	CHI	a871
lex@CHI	CHI	a1001	0	lex@CHI	CHI	a1001
lex@CHI	CHI	a872	0	lex@CHI	CHI	a872
lex@CHI	CHI	a873	0	lex@CHI	CHI	a873
lex@CHI	CHI	a874	0	lex@CHI	CHI	a874
lex@CHI	CHI	a875	0	lex@CHI	CHI	a875
lex@CHI	CHI	a941	0	lex@CHI	CHI	a941
lex@CHI	CHI	a876	0	lex@CHI	CHI	a876
lex@CHI	CHI	a877	0	lex@CHI	CHI	a877
lex@CHI	CHI	a878	0	lex@CHI	CHI	a878
lex@CHI	CHI	a942	0	lex@CHI	CHI	a942
lex@CHI	CHI	a943	0	lex@CHI	CHI	a943
lex@CHI	CHI	a879	0	lex@CHI	CHI	a879
lex@CHI	CHI	a880	0	lex@CHI	CHI	a880
